date,open,high,low,close,volume,amount
2008-01-23,2130.23,2267.46,2119.91,2267.41,5.2292703,75.90602704369999
2008-01-24,2297.13,2427.57,2268.39,2413.96,6.3172382,97.5144248726
2008-01-25,2409.91,2432.43,2332.47,2343.78,5.39879608,88.0261395431
2008-01-28,2307.54,2314.53,2164.15,2176.2,3.29015491,49.072266794300006
2008-01-29,2158.69,2216.95,2120.91,2194.89,2.59067327,36.1085050726
2008-01-30,2212.01,2285.12,2162.0,2267.32,3.35466222,52.356332774799995
2008-01-31,2242.41,2248.28,2133.78,2136.45,2.68835834,40.7364446653
2008-02-01,2145.16,2147.04,1975.98,2049.8,2.88666506,37.7887525572
2008-02-04,2086.25,2194.61,2086.25,2191.44,2.61578836,41.654658186700004
2008-02-05,2193.16,2213.11,2150.86,2180.49,2.58454232,40.4701248595
2008-02-13,2167.95,2234.25,2135.38,2193.13,1.94806938,27.6864673434
2008-02-14,2211.97,2242.55,2203.04,2222.9,1.69265276,25.885173739699997
2008-02-15,2202.82,2282.99,2179.97,2282.99,3.13123161,47.218902677799996
2008-02-18,2316.68,2421.1,2316.18,2403.11,4.79133229,74.4396350379
2008-02-19,2413.33,2436.2,2393.69,2408.09,4.84870604,74.1672987403
2008-02-20,2415.8,2520.91,2402.84,2483.73,6.31220497,92.2055620414
2008-02-21,2469.94,2518.73,2447.03,2477.79,5.20744501,80.9149357316
2008-02-22,2471.08,2488.37,2364.32,2423.59,4.36304633,65.7817962905
2008-02-25,2417.76,2427.22,2364.63,2370.32,3.64507456,51.278681218100004
2008-02-26,2409.17,2433.93,2258.92,2319.98,3.67083291,54.9211961325
2008-02-27,2315.72,2393.7,2298.36,2393.7,3.19864868,52.21064486189999
2008-02-28,2389.97,2465.0,2383.72,2423.78,4.19733486,65.4404947737
2008-02-29,2416.44,2444.62,2400.24,2426.25,2.86059067,45.9839586622
2008-03-03,2423.2,2563.32,2413.34,2563.07,5.29451935,84.0720468881
2008-03-04,2574.75,2648.97,2573.56,2592.95,7.79724261,114.1038966576
2008-03-05,2565.73,2611.82,2514.59,2611.82,5.96905875,88.5746915669
2008-03-06,2619.43,2635.88,2563.46,2566.44,6.94793555,98.1864188625
2008-03-07,2534.43,2567.71,2496.46,2520.96,4.46790665,65.1548158489
2008-03-10,2485.62,2494.65,2403.95,2418.13,3.4100056,49.089535748500005
2008-03-11,2393.92,2465.45,2382.78,2465.45,3.27223913,46.799660403000004
2008-03-12,2502.72,2510.18,2392.16,2392.16,2.67158352,41.008844286999995
2008-03-13,2348.31,2368.67,2221.1,2268.59,3.31207244,46.6484487046
2008-03-14,2257.15,2299.75,2232.05,2272.74,2.07755487,29.7876231771
2008-03-17,2245.51,2250.04,2088.37,2090.2,2.62556569,37.2189590175
2008-03-18,2028.82,2066.68,1920.61,1962.26,3.43760249,45.6258230215
2008-03-19,2001.72,2097.44,1963.13,2087.03,3.78326686,51.5685648612
2008-03-20,2043.56,2207.4,2011.06,2188.02,4.65107699,67.1621482053
2008-03-21,2181.24,2216.29,2146.61,2163.87,3.9046451,59.0295012117
2008-03-24,2184.14,2206.66,2122.98,2123.89,2.66831173,39.7862155444
2008-03-25,2073.72,2153.01,2039.69,2152.97,2.69639577,38.0904694595
2008-03-26,2161.95,2195.74,2109.35,2123.36,2.22155901,31.1684217003
2008-03-27,2124.65,2173.84,2063.74,2064.15,3.48632966,47.3500602671
2008-03-28,2033.58,2087.27,1934.82,2077.15,3.1365488,41.8081014893
