date,close
2013-07-25,2347.0
2013-07-26,2340.0
2013-07-29,2324.0
2013-07-30,2330.0
2013-07-31,2338.0
2013-08-01,2331.0
2013-08-02,2327.0
2013-08-05,2330.0
2013-08-06,2325.0
2013-08-07,2314.0
2013-08-08,2313.0
2013-08-09,2319.0
2013-08-12,2313.0
2013-08-13,2316.0
2013-08-14,2307.0
2013-08-15,2319.0
2013-08-16,2319.0
2013-08-19,2324.0
2013-08-20,2320.0
2013-08-21,2324.0
2013-08-22,2328.0
2013-08-23,2328.0
2013-08-26,2343.0
2013-08-27,2337.0
2013-08-28,2327.0
2013-08-29,2322.0
2013-08-30,2320.0
2013-09-02,2329.0
2013-09-03,2333.0
2013-09-04,2324.0
2013-09-05,2322.0
2013-09-06,2323.0
2013-09-09,2322.0
2013-09-10,2314.0
2013-09-11,2323.0
2013-09-12,2322.0
2013-09-13,2326.0
2013-09-16,2325.0
2013-09-17,2333.0
2013-09-18,2335.0
2013-09-23,2338.0
2013-09-24,2333.0
2013-09-25,2327.0
2013-09-26,2328.0
2013-09-27,2322.0
2013-09-30,2318.0
2013-10-08,2323.0
2013-10-09,2328.0
2013-10-10,2341.0
2013-10-11,2346.0
2013-10-14,2355.0
2013-10-15,2345.0
2013-10-16,2346.0
2013-10-17,2352.0
2013-10-18,2344.0
2013-10-21,2348.0
2013-10-22,2343.0
2013-10-23,2343.0
2013-10-24,2342.0
2013-10-25,2338.0
2013-10-28,2319.0
2013-10-29,2311.0
2013-10-30,2318.0
2013-10-31,2323.0
2013-11-01,2324.0
2013-11-04,2324.0
2013-11-05,2340.0
2013-11-06,2345.0
2013-11-07,2346.0
2013-11-08,2349.0
2013-11-11,2349.0
2013-11-12,2350.0
2013-11-13,2352.0
2013-11-14,2354.0
2013-11-15,2356.0
2013-11-18,2350.0
2013-11-19,2347.0
2013-11-21,2369.0
2013-11-22,2366.0
2013-11-25,2363.0
2013-11-26,2363.0
2013-11-27,2365.0
2013-11-28,2363.0
2013-11-29,2361.0
2013-12-02,2365.0
2013-12-03,2365.0
2013-12-04,2366.0
2013-12-05,2362.0
2013-12-06,2365.0
2013-12-09,2362.0
2013-12-10,2360.0
2013-12-11,2356.0
2013-12-12,2352.0
2013-12-13,2337.0
2013-12-16,2327.0
2013-12-17,2337.0
2013-12-18,2334.0
2013-12-19,2329.0
2013-12-20,2345.0
2013-12-23,2340.0
2013-12-24,2331.0
